"","Row number","Community or sub-community code","Community or sub-community name","Community level code","NVC_Species","Species constancy value","Maximum abundance of species","Special variable value","...9","interactionTypeName","Assoc_Species"
"1",1,"A1","Lemna gibba community","A1","Lemna gibba","V",10,NA,NA,"interactsWith","Bolboschoenus maritimus"
"2",1,"A1","Lemna gibba community","A1","Lemna gibba","V",10,NA,NA,"eats","Rhopalosiphum nymphaeae"
"3",1,"A1","Lemna gibba community","A1","Lemna gibba","V",10,NA,NA,"eats","Myocastor coypus"
"4",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Sminthurides aquaticus"
"5",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Munroessa icciusalis"
"6",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Scirtes tibialis"
"7",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"8",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Podura aquatica"
"9",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemnaphila scotlandae"
"10",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"11",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Tanysphyrus lemnae"
"12",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Synclita obliteralis"
"13",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Sminthurides aquaticus"
"14",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Munroessa icciusalis"
"15",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Scirtes tibialis"
"16",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"17",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Podura aquatica"
"18",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemnaphila scotlandae"
"19",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"20",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Tanysphyrus lemnae"
"21",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Synclita obliteralis"
"22",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"23",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"24",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"25",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"26",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"27",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Pelophylax bedriagae"
"28",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Persicaria amphibia"
"29",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Ludwigia peploides"
"30",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"31",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"32",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lycopus uniflorus"
"33",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"34",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"35",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"36",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Sminthurides aquaticus"
"37",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Munroessa icciusalis"
"38",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Scirtes tibialis"
"39",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemna minor"
"40",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Podura aquatica"
"41",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Lemnaphila scotlandae"
"42",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Rhopalosiphum nymphaeae"
"43",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Tanysphyrus lemnae"
"44",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Synclita obliteralis"
"45",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Tanysphyrus lemnae"
"46",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Wolffia brasiliensis"
"47",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"48",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"49",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"50",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"51",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"52",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Quiscalus major"
"53",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Tanysphyrus lemnae"
"54",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"interactsWith","Wolffia brasiliensis"
"55",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas strepera"
"56",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas platyrhynchos"
"57",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Anas castanea"
"58",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
"59",2,"A1","Lemna gibba community","A1","Lemna minor","II",3,NA,NA,"eats","Gallinula galeata"
