"","Species","Taxon_group","value"
"1","Acer campestre","Lichen",331
"2","Acer campestre","Fungi",735
"3","Acer campestre","Bryophytes",81
"4","Acer campestre","Birds",15
"5","Acer campestre","Mammals",19
"6","Acer campestre","Invertebrates",248
"7","Alnus glutinosa","Lichen",583
"8","Alnus glutinosa","Fungi",1684
"9","Alnus glutinosa","Bryophytes",129
"10","Alnus glutinosa","Birds",24
"11","Alnus glutinosa","Mammals",17
"12","Alnus glutinosa","Invertebrates",376
"13","Arbutus unedo","Lichen",NA
"14","Arbutus unedo","Fungi",33
"15","Arbutus unedo","Bryophytes",NA
"16","Arbutus unedo","Birds",17
"17","Arbutus unedo","Mammals",3
"18","Arbutus unedo","Invertebrates",6
"19","Betula pendula","Lichen",332
"20","Betula pendula","Fungi",1599
"21","Betula pendula","Bryophytes",67
"22","Betula pendula","Birds",19
"23","Betula pendula","Mammals",14
"24","Betula pendula","Invertebrates",360
"25","Betula pubescens","Lichen",330
"26","Betula pubescens","Fungi",876
"27","Betula pubescens","Bryophytes",85
"28","Betula pubescens","Birds",15
"29","Betula pubescens","Mammals",15
"30","Betula pubescens","Invertebrates",296
"31","Buxus sempervirens","Lichen",71
"32","Buxus sempervirens","Fungi",179
"33","Buxus sempervirens","Bryophytes",1
"34","Buxus sempervirens","Birds",NA
"35","Buxus sempervirens","Mammals",NA
"36","Buxus sempervirens","Invertebrates",9
"37","Carpinus betulus","Lichen",211
"38","Carpinus betulus","Fungi",954
"39","Carpinus betulus","Bryophytes",58
"40","Carpinus betulus","Birds",24
"41","Carpinus betulus","Mammals",19
"42","Carpinus betulus","Invertebrates",297
"43","Cornus sanguinea","Lichen",1
"44","Cornus sanguinea","Fungi",96
"45","Cornus sanguinea","Bryophytes",NA
"46","Cornus sanguinea","Birds",46
"47","Cornus sanguinea","Mammals",4
"48","Cornus sanguinea","Invertebrates",42
"49","Corylus avellana","Lichen",671
"50","Corylus avellana","Fungi",2250
"51","Corylus avellana","Bryophytes",99
"52","Corylus avellana","Birds",4
"53","Corylus avellana","Mammals",11
"54","Corylus avellana","Invertebrates",227
"55","Crataegus laevigata","Lichen",NA
"56","Crataegus laevigata","Fungi",58
"57","Crataegus laevigata","Bryophytes",NA
"58","Crataegus laevigata","Birds",34
"59","Crataegus laevigata","Mammals",NA
"60","Crataegus laevigata","Invertebrates",14
"61","Crataegus monogyna","Lichen",220
"62","Crataegus monogyna","Fungi",946
"63","Crataegus monogyna","Bryophytes",41
"64","Crataegus monogyna","Birds",56
"65","Crataegus monogyna","Mammals",14
"66","Crataegus monogyna","Invertebrates",163
"67","Euonymus europaeus","Lichen",67
"68","Euonymus europaeus","Fungi",125
